query,title,url,author,points,comments,created,hn_url
"indie hacker","Indie Hackers is indie again","https://www.indiehackers.com/product/indie-hackers/indie-hackers-is-indie-again--NSIAlb7LggSjzTavQZb","TimLeland",192,78,"2023-04-05T21:05:51Z","https://news.ycombinator.com/item?id=35460375"
"AI startup","Databricks Strikes $1.3B Deal for Generative AI Startup MosaicML","https://www.wsj.com/articles/databricks-strikes-1-3-billion-deal-for-generative-ai-startup-mosaicml-fdcefc06","jmsflknr",188,110,"2023-06-26T12:18:04Z","https://news.ycombinator.com/item?id=36478734"
"AI startup","Ex-Google CEO: AI startups can steal IP and hire lawyers to 'clean up the mess'","https://www.theverge.com/2024/8/14/24220658/google-eric-schmidt-stanford-talk-ai-startups-openai","stalfosknight",187,192,"2024-08-17T15:08:40Z","https://news.ycombinator.com/item?id=41275073"
"MCP server","Directory of MCP Servers","https://github.com/chatmcp/mcpso","saikatsg",187,65,"2025-05-17T19:14:56Z","https://news.ycombinator.com/item?id=44016336"
"web scraping","Build Your Own Mobile Proxy for Web Scraping","https://scrapingfish.com/blog/byo-mobile-proxy-for-web-scraping","mateuszbuda",185,31,"2022-08-17T14:30:12Z","https://news.ycombinator.com/item?id=32496915"
"MCP server","Show HN: GitMCP is an automatic MCP server for every GitHub repo","https://gitmcp.io/","liadyo",185,60,"2025-04-03T18:28:44Z","https://news.ycombinator.com/item?id=43573539"
"AI startup","China’s SenseTime, the world’s highest-valued AI startup, closes $620M round","https://techcrunch.com/2018/05/30/even-more-money-for-senstime-ai-china/","alex_young",184,113,"2018-05-31T14:47:53Z","https://news.ycombinator.com/item?id=17196704"
"MCP server","Trading with Claude, and writing your own MCP server","https://dangelov.com/blog/trading-with-claude/","dangelov",180,83,"2025-05-22T12:59:34Z","https://news.ycombinator.com/item?id=44061614"
"bluesky","Bluesky facing degraded performance due to record high traffic","https://bsky.app/profile/bsky.app/post/3jzi4yw3nqu2h","chandramdutta",180,201,"2023-07-01T19:26:46Z","https://news.ycombinator.com/item?id=36554053"
"web scraping","Web Scraping with JavaScript","https://qoob.cc/web-scraping/","paulpro",178,88,"2020-10-26T16:34:39Z","https://news.ycombinator.com/item?id=24898016"
"AI startup","Most AI startups are doomed","https://weightythoughts.com/p/most-ai-startups-are-doomed","j-wang",177,132,"2023-11-28T19:28:43Z","https://news.ycombinator.com/item?id=38450087"
"web scraping","Web Scraping to Create Open Data","https://blog.scrapinghub.com/2016/03/30/web-scraping-to-create-open-data/","stummjr",176,55,"2016-03-30T17:36:11Z","https://news.ycombinator.com/item?id=11391218"
"automation tool","Show HN: I created a browser automation tool","https://www.rocketride.io","iamandras",176,55,"2022-08-05T05:58:03Z","https://news.ycombinator.com/item?id=32352291"
"freelance developer","How To Become a Successful Freelance Web Developer (and Not Kill Your Career)","http://www.jamiebegin.com/how-to-become-a-successful-freelance-web-developer-and-not-kill-your-career/","Killswitch",174,64,"2012-12-27T20:39:42Z","https://news.ycombinator.com/item?id=4974944"
"indie hacker","Analyzing Indie Hacker Products with Verified Revenue","https://scrapingfish.com/blog/indie-hackers-revenue","mateuszbuda",173,118,"2022-07-19T13:33:16Z","https://news.ycombinator.com/item?id=32151172"
